Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691211
,ICP.M.AT.N.011100.4.ANR,ICP.M.AT.N.011200.4.ANR,ICP.M.AT.N.011400.4.ANR,ICP.M.AT.N.011500.4.ANR,ICP.M.AT.N.011700.4.ANR,ICP.M.AT.N.011800.4.ANR,ICP.M.BE.N.011100.4.ANR,ICP.M.BE.N.011200.4.ANR,ICP.M.BE.N.011400.4.ANR,ICP.M.BE.N.011500.4.ANR,ICP.M.BE.N.011700.4.ANR,ICP.M.BE.N.011800.4.ANR,ICP.M.BG.N.011100.4.ANR,ICP.M.BG.N.011200.4.ANR,ICP.M.BG.N.011400.4.ANR,ICP.M.BG.N.011500.4.ANR,ICP.M.BG.N.011700.4.ANR,ICP.M.BG.N.011800.4.ANR,ICP.M.CY.N.011100.4.ANR,ICP.M.CY.N.011200.4.ANR,ICP.M.CY.N.011400.4.ANR,ICP.M.CY.N.011500.4.ANR,ICP.M.CY.N.011700.4.ANR,ICP.M.CY.N.011800.4.ANR,ICP.M.CZ.N.011100.4.ANR,ICP.M.CZ.N.011200.4.ANR,ICP.M.CZ.N.011400.4.ANR,ICP.M.CZ.N.011500.4.ANR,ICP.M.CZ.N.011700.4.ANR,ICP.M.CZ.N.011800.4.ANR,ICP.M.D0.N.011100.4.ANR,ICP.M.D0.N.011200.4.ANR,ICP.M.D0.N.011400.4.ANR,ICP.M.D0.N.011500.4.ANR,ICP.M.D0.N.011700.4.ANR,ICP.M.D0.N.011800.4.ANR,ICP.M.DE.N.011100.4.ANR,ICP.M.DE.N.011200.4.ANR,ICP.M.DE.N.011400.4.ANR,ICP.M.DE.N.011500.4.ANR,ICP.M.DE.N.011700.4.ANR,ICP.M.DE.N.011800.4.ANR,ICP.M.DK.N.011100.4.ANR,ICP.M.DK.N.011200.4.ANR,ICP.M.DK.N.011400.4.ANR,ICP.M.DK.N.011500.4.ANR,ICP.M.DK.N.011700.4.ANR,ICP.M.DK.N.011800.4.ANR,ICP.M.EE.N.011100.4.ANR,ICP.M.EE.N.011200.4.ANR
2018Dec,1.9,0.7,0.6,0.6,2.6,0.6,1.6,0.7,1.7,2.9,2.9,1.1,11.2,-0.1,-1.4,-1.6,8.5,-2.8,0.9,-2.1,-0.9,-2.6,27.9,-3.6,0.6,-0.6,-4.1,-1.2,14.2,-3.9,1.7,0.5,0.1,-1.2,7.3,0.0,2.0,0.7,0.3,1.5,7.9,-0.4,-0.2,-0.8,1.0,3.2,0.0,-0.4,3.8,0.9
2018Nov,2.1,0.8,0.8,-1.8,3.1,0.5,1.8,0.5,1.9,3.4,4.5,1.6,10.9,-0.1,-1.6,-1.5,9.4,-3.9,1.1,-2.1,-1.1,6.0,28.2,-2.9,-1.7,-0.3,-2.6,-1.9,10.4,-5.4,1.6,0.6,0.4,-0.7,6.4,-0.3,2.0,0.7,0.5,1.5,9.6,0.6,-1.7,-1.6,0.5,3.6,-3.1,-0.8,2.9,1.8
2018Oct,1.5,1.6,1.0,-1.6,2.8,-0.5,1.7,0.6,3.8,5.0,4.6,2.7,9.6,0.3,2.2,-0.4,10.3,-5.8,2.5,-1.7,-0.5,4.7,13.0,1.7,-0.9,0.3,0.8,-1.5,10.2,-4.4,1.6,0.7,1.8,-0.5,5.9,-0.1,1.9,0.6,3.1,-2.6,9.3,0.6,-1.2,-0.4,1.1,4.3,-3.1,-2.0,3.6,1.9
2018Sep,1.9,1.5,0.4,1.9,3.5,-0.4,1.4,1.2,3.2,5.0,5.0,1.3,5.6,0.8,3.0,0.8,10.5,-6.7,0.9,-2.2,1.2,3.5,22.5,0.6,-2.2,0.2,3.4,0.1,13.5,-5.8,1.4,1.0,2.4,0.3,7.8,-0.6,1.7,0.8,3.4,0.2,12.3,0.1,0.3,-0.8,1.1,5.0,-4.1,-1.5,3.5,2.4
2018Aug,1.7,1.0,0.7,3.8,1.6,-0.7,1.6,1.1,4.0,6.8,1.8,0.7,2.6,0.6,5.3,2.4,8.6,-7.3,0.5,-0.4,0.1,4.4,26.7,2.7,0.0,-0.6,2.1,2.6,-0.7,-2.4,1.5,1.1,2.8,1.6,4.1,-0.2,1.7,1.5,3.9,3.0,3.1,1.0,-2.6,-1.0,1.2,-0.1,-3.5,-1.7,3.8,2.3
2018Jul,2.0,1.9,2.4,7.9,0.9,0.6,2.2,1.8,5.7,7.8,1.7,2.1,2.4,1.0,6.2,3.5,6.8,-7.2,0.8,-1.3,0.2,2.4,16.7,3.3,-0.2,0.3,1.5,3.2,-7.7,-2.2,1.4,1.3,3.0,4.3,2.9,-0.5,1.4,2.0,3.9,6.5,2.4,0.5,-1.4,-0.6,1.3,4.6,-3.3,-3.1,2.3,1.7
2018Jun,1.8,1.7,2.9,11.0,0.6,0.2,2.1,1.8,5.2,10.3,-1.1,2.1,2.6,1.6,5.9,4.7,6.1,-5.7,0.2,-3.0,1.5,3.5,24.3,4.4,0.0,0.5,4.8,6.5,7.9,0.2,1.5,1.5,3.2,6.1,2.9,-0.3,1.6,2.6,4.8,14.3,2.2,0.5,-0.5,0.1,1.1,5.0,-1.4,-1.8,4.2,1.7
2018May,1.7,2.2,3.1,11.9,-0.5,-0.5,1.8,1.5,5.8,8.6,-3.2,2.0,2.6,3.0,5.5,4.6,2.3,-5.8,1.0,-3.8,1.2,1.8,5.6,2.2,-0.2,1.4,4.9,9.8,2.6,0.5,1.4,1.7,3.5,7.1,1.5,-0.5,1.5,3.0,5.4,16.5,1.6,0.3,-0.8,0.7,4.4,6.4,-0.6,-1.2,2.7,1.6
2018Apr,1.8,2.6,3.7,12.1,-0.1,-0.4,1.8,1.3,6.6,8.4,-2.5,0.3,3.2,4.1,5.8,4.7,-8.9,-4.8,0.0,1.2,1.2,5.8,-3.5,0.2,0.2,2.8,5.6,5.8,-11.8,2.3,1.4,2.1,4.6,8.0,-2.0,0.1,1.6,2.6,8.7,15.3,-5.1,1.5,0.8,1.5,5.0,6.8,-1.5,-1.5,2.9,3.9
2018Mar,1.5,1.8,4.7,12.1,-2.7,-0.6,1.6,1.4,6.6,8.3,-4.9,1.8,3.1,4.3,6.3,3.0,-10.3,-5.3,-0.5,-2.4,0.8,5.5,-15.2,1.6,1.4,3.0,5.7,7.0,-9.8,2.9,1.3,2.3,4.8,7.8,-3.3,-0.1,1.2,2.5,10.1,14.7,-7.0,0.0,0.4,1.9,4.4,4.5,-1.7,-2.7,2.0,3.0
2018Feb,1.7,1.0,4.4,9.5,-7.6,-0.6,1.4,2.0,6.5,8.1,-8.3,-0.3,2.2,4.2,7.2,4.7,-11.5,-4.6,1.1,-2.4,-0.4,7.2,-23.9,3.2,2.8,3.8,7.7,6.5,-18.1,1.7,1.3,2.3,5.2,7.4,-9.0,0.0,1.3,2.8,10.1,8.9,-17.9,0.4,1.2,1.4,4.6,4.4,-3.9,-1.5,3.1,3.0
2018Jan,1.8,1.6,4.3,11.9,-1.8,-0.2,1.5,1.7,5.9,10.4,-4.2,1.9,2.0,4.5,9.6,5.7,-14.8,-3.8,0.1,-1.9,1.9,4.8,-37.0,0.9,4.2,4.1,9.5,8.8,-3.6,1.4,1.5,2.3,5.2,9.4,-2.6,0.1,1.1,2.6,9.6,15.1,-5.7,0.1,0.2,1.1,5.5,6.2,-2.0,-0.5,3.2,2.7
2017Dec,1.8,3.2,4.7,13.1,2.4,0.8,1.8,1.5,4.9,10.1,-2.6,0.8,2.1,4.8,9.9,7.5,-1.0,-2.9,-0.2,-0.7,-0.9,2.8,-24.3,-0.4,4.8,4.8,13.4,13.0,-4.7,0.5,1.3,2.5,5.3,10.3,-0.3,0.1,0.8,2.9,8.9,16.6,-6.3,-0.2,1.2,2.2,5.7,6.3,-1.1,0.1,3.7,2.9
2017Nov,1.3,3.1,4.9,16.1,2.4,1.1,0.9,0.9,4.4,10.9,-4.4,1.0,2.6,5.4,10.1,8.2,4.3,-1.9,-0.4,-1.9,0.6,1.5,4.9,-0.1,6.2,4.8,13.5,16.3,-2.1,1.7,1.1,2.4,5.3,11.2,1.7,0.6,0.6,3.1,9.6,17.9,-2.9,-0.3,1.6,3.0,6.3,18.2,2.2,1.6,3.0,2.1
2017Oct,1.5,2.1,6.1,19.8,3.1,2.0,0.9,0.9,2.8,10.2,-3.4,-0.4,2.0,5.2,6.9,8.6,4.3,-0.2,-1.5,-2.3,-0.2,2.2,13.6,-1.5,6.1,4.9,13.0,23.3,10.7,4.4,1.1,2.3,4.8,12.3,4.1,0.1,0.6,2.6,12.5,27.6,1.4,-0.1,1.7,3.6,8.3,20.8,3.2,1.7,3.7,3.0
2017Sep,1.5,2.1,5.3,19.6,0.4,2.6,1.0,1.0,3.1,11.3,-3.4,0.4,1.8,6.3,6.1,7.2,2.4,1.6,-0.6,-2.3,-0.3,3.6,-12.4,2.1,6.2,4.9,11.8,22.7,-4.1,4.7,0.9,2.3,4.4,13.3,0.3,1.0,0.2,2.6,12.4,33.6,-4.1,0.3,1.0,3.7,7.9,16.4,2.9,1.9,1.9,2.9
2017Aug,1.5,1.6,4.8,17.2,0.4,2.3,0.9,1.0,2.6,8.7,-3.5,0.7,2.2,6.8,4.3,6.3,-4.0,1.8,0.5,-1.0,0.7,3.3,-15.7,0.8,5.1,5.8,13.8,15.9,-5.5,3.9,0.9,2.1,4.0,10.6,-1.3,0.6,0.5,2.6,11.8,27.6,-4.1,0.2,1.6,2.7,7.9,20.6,2.6,0.0,2.3,3.1
2017Jul,1.5,1.1,3.5,13.8,1.5,1.7,0.8,0.3,0.4,7.8,-3.4,1.2,2.3,6.4,3.4,5.3,-3.3,2.4,-0.5,-2.3,0.8,3.0,-18.9,2.6,5.8,5.5,13.2,18.4,-2.4,4.0,0.8,2.1,3.6,9.6,-0.8,1.2,0.4,2.3,11.4,28.3,-5.5,0.8,1.8,2.8,7.4,19.9,2.2,2.9,2.8,3.9
2017Jun,1.3,1.8,4.3,8.6,0.7,0.5,0.9,0.8,0.3,5.8,-1.0,0.7,1.8,6.4,3.0,4.5,8.2,3.9,-1.5,0.8,0.1,5.8,-5.4,1.9,5.7,6.1,12.3,16.5,-7.8,7.1,0.6,1.9,3.4,7.7,0.1,0.9,0.3,1.7,10.9,24.8,-2.6,0.5,1.2,1.1,6.5,10.0,0.7,0.1,2.8,2.9
2017May,1.5,1.2,3.2,6.7,-1.1,1.2,1.0,0.9,0.0,6.0,-3.0,0.5,0.8,5.4,2.3,3.3,10.6,4.8,-1.5,1.4,0.9,2.5,9.3,2.6,5.1,5.4,9.1,8.9,-6.3,5.6,0.5,1.8,2.6,5.9,0.7,1.1,0.2,1.4,8.7,18.6,-2.4,0.6,2.9,0.0,4.5,9.8,-0.3,1.1,2.5,3.0
2017Apr,1.6,-0.1,2.0,5.3,-4.1,-0.1,0.8,1.1,-1.0,4.5,-3.5,1.6,0.5,3.9,2.6,1.7,18.5,4.9,-0.9,-2.9,-1.3,-0.9,31.8,0.5,4.7,3.5,8.3,7.7,0.3,3.4,0.4,1.3,1.5,4.4,2.3,0.3,0.2,1.7,4.1,15.0,-0.7,-0.3,0.8,1.1,4.9,8.1,0.8,1.1,1.0,1.6
2017Mar,2.0,0.9,1.3,4.6,-1.7,0.7,0.7,0.5,-1.0,4.8,4.5,0.3,-0.2,2.6,1.7,3.5,16.4,5.8,-0.1,-0.7,2.4,0.9,30.9,1.1,4.4,3.5,9.0,10.3,-1.2,4.9,0.4,1.0,1.1,5.5,4.7,1.0,0.4,1.4,2.5,15.8,4.4,1.1,0.9,0.1,4.0,17.0,3.2,3.9,1.4,0.6
2017Feb,1.9,0.5,1.2,5.9,8.3,1.2,1.5,-0.1,-1.0,4.9,9.0,1.9,0.4,1.9,1.1,1.7,15.2,5.1,-1.4,-1.3,0.7,-2.1,25.3,-0.1,3.5,1.6,6.4,8.8,17.5,6.0,0.3,0.8,0.5,3.2,12.6,1.0,0.4,1.2,2.4,12.7,22.5,1.1,0.8,-0.4,4.2,12.6,5.5,2.6,1.5,1.1
2017Jan,1.5,1.7,0.4,6.2,2.3,0.9,0.9,0.3,-1.3,5.5,6.3,0.9,0.1,1.2,0.3,1.9,20.9,5.5,-1.0,-0.7,0.1,-3.3,8.2,1.5,2.6,1.6,6.6,7.6,5.4,7.6,0.2,0.6,0.3,2.9,7.5,1.2,0.5,1.0,2.6,12.5,11.8,1.2,1.0,-0.5,2.9,9.2,3.9,1.8,-0.3,1.4
2016Dec,1.5,1.0,0.4,4.4,-2.5,1.8,1.2,0.8,-1.5,3.6,3.5,1.8,-0.1,0.7,-0.1,1.5,6.0,5.4,-1.7,-1.1,0.9,-2.9,4.7,3.3,2.8,1.5,5.1,7.5,8.2,5.9,0.2,0.4,0.0,2.7,3.7,1.0,0.5,1.0,2.5,12.1,10.7,1.2,0.9,0.0,1.9,-0.6,4.0,0.5,0.3,0.0
2016Nov,1.5,2.1,0.3,4.2,-4.9,1.2,1.5,1.7,-1.6,3.5,-0.5,1.1,-0.4,0.0,-0.9,1.4,-1.3,5.6,0.0,1.3,0.1,-2.3,-23.7,3.0,0.2,1.8,4.1,4.2,-6.0,5.0,0.2,0.3,-0.4,1.8,-1.7,0.7,0.6,0.7,1.6,12.9,-0.5,1.5,0.8,0.1,2.6,-3.4,2.2,0.7,1.9,0.9
2016Oct,1.9,1.5,-1.6,3.7,-4.5,1.1,1.0,1.3,-1.1,4.1,-2.2,0.5,0.0,-0.4,-1.2,-0.2,-1.3,6.5,-0.6,-0.3,1.0,0.0,-8.3,2.8,-0.6,1.5,-0.9,0.2,-14.9,2.4,-0.1,0.0,-1.7,1.9,-3.5,1.0,0.3,0.8,-4.0,11.9,-3.9,1.3,-0.2,-1.4,-2.3,-0.1,-2.8,2.0,0.9,0.7
2016Sep,1.3,1.1,-1.2,1.5,-1.2,-1.0,1.0,0.8,0.7,1.6,0.4,1.2,0.1,-0.8,-1.2,-0.2,1.7,6.5,-0.2,-0.1,0.4,0.9,25.4,1.5,-0.4,0.6,-3.1,-0.4,-9.0,0.9,0.0,-0.3,-1.8,1.1,-1.1,0.8,0.7,0.6,-4.0,6.3,1.1,1.3,1.2,-1.7,-1.2,-1.6,-2.2,0.7,2.0,2.1
2016Aug,1.5,1.3,-2.0,0.5,0.9,0.3,1.2,1.1,0.5,2.3,3.7,0.9,0.2,-1.2,-1.5,-1.0,12.8,7.6,-1.7,-1.0,-0.7,-2.5,44.5,-0.6,0.4,0.4,-5.6,-1.6,3.5,-0.1,0.1,-0.3,-1.9,2.4,3.7,1.2,0.4,0.2,-4.3,5.4,6.0,1.3,1.6,-1.0,-3.2,-4.8,2.0,2.1,1.8,1.2
2016Jul,1.1,1.3,-2.3,0.3,1.3,-0.9,1.5,0.7,1.8,1.6,2.9,0.7,-0.1,-1.4,-1.2,0.0,16.2,7.1,-1.0,-0.1,0.1,-0.1,61.8,-0.8,0.1,0.0,-7.6,-3.9,10.8,1.2,0.0,-0.5,-2.0,1.9,4.8,0.9,0.3,0.1,-4.7,0.6,9.6,0.5,1.5,-1.1,-3.4,-2.7,0.5,-0.4,0.7,0.0
2016Jun,1.5,0.7,-3.9,-0.8,1.3,0.2,1.3,0.8,2.0,2.8,4.1,0.7,-0.1,-2.0,-1.3,0.7,-1.1,6.2,0.8,-2.7,-1.4,-3.7,15.0,-2.8,-0.3,-2.0,-10.5,-5.4,1.6,-2.6,0.2,-0.6,-2.6,1.7,1.5,0.8,0.5,0.1,-5.3,-3.9,5.1,0.5,1.0,-0.7,-4.4,-3.0,0.2,0.3,0.7,0.0
2016May,0.8,1.1,-3.0,-0.2,0.8,-0.1,1.1,0.7,2.2,2.4,6.0,0.2,-0.3,-3.3,-1.2,3.5,-7.5,5.9,0.2,-2.7,-1.1,-4.8,6.7,-0.8,0.8,-2.2,-10.9,-6.3,4.5,-1.7,0.0,-1.3,-2.8,1.2,1.4,0.5,0.8,0.2,-4.4,-5.3,3.2,0.5,0.5,-0.4,-3.5,-3.8,7.4,-1.0,0.8,-0.9
2016Apr,0.9,0.7,-1.9,1.1,2.6,0.6,1.5,1.0,2.1,1.9,4.3,0.1,-0.5,-3.5,-1.0,6.6,-13.7,5.9,-0.9,-1.2,-0.6,-3.3,-21.4,-2.9,-0.4,-1.7,-10.0,-4.8,9.1,-1.1,0.1,-1.3,-2.6,1.6,1.3,0.9,0.5,0.0,-2.8,-6.3,5.5,0.5,0.5,-0.6,-5.0,0.8,5.8,0.6,1.1,-1.7
2016Mar,0.8,1.0,-1.6,0.6,0.9,-0.5,1.3,0.9,1.3,1.6,7.2,0.1,-0.3,-2.8,-0.7,5.6,-9.4,6.3,-1.1,-2.2,-3.5,-2.5,-23.4,-0.3,-0.8,-2.6,-11.4,-7.1,21.6,-4.7,0.0,-1.3,-2.5,1.2,1.4,0.2,0.7,0.4,-2.2,-5.8,6.6,-0.3,0.3,-0.9,-5.6,-6.4,4.5,-0.7,0.8,-1.1
2016Feb,0.8,2.8,-2.1,0.7,-2.0,1.2,0.9,0.8,1.1,3.2,2.2,-0.6,0.0,-2.6,-0.7,5.8,-2.5,5.6,0.1,-2.3,-0.7,3.0,-16.9,-2.2,-0.8,-1.7,-10.5,-5.5,14.8,-2.5,0.1,-1.2,-2.4,3.2,-0.9,0.5,1.1,0.4,-2.6,0.2,1.2,0.0,0.7,0.6,-3.9,3.0,7.9,1.2,1.4,-1.5
2016Jan,0.9,1.2,-1.4,0.2,0.1,0.8,1.3,1.2,0.7,1.2,2.8,0.1,0.0,-2.7,-0.9,5.5,1.7,5.0,0.4,-4.5,-1.8,1.4,10.2,-3.0,-1.3,-2.2,-10.6,-5.9,16.8,-4.7,0.0,-1.2,-2.6,3.5,1.1,0.8,0.8,0.2,-3.1,-0.2,3.1,1.5,0.6,-0.6,-6.3,-1.2,5.9,2.9,0.9,-2.5
2015Dec,1.2,0.5,-2.1,0.9,2.2,-0.6,1.0,0.9,0.6,2.2,7.3,0.3,0.0,-2.7,-0.8,5.2,2.5,4.4,1.2,-3.9,-1.6,4.2,24.7,-2.4,-1.2,-2.6,-11.2,-5.7,14.0,-3.1,0.1,-1.2,-2.9,3.4,3.8,0.8,1.1,-0.1,-3.9,0.2,6.2,2.6,2.1,0.1,-3.0,1.9,7.5,5.0,1.8,-2.2
2015Nov,1.1,0.3,-2.7,0.2,3.0,-0.7,1.0,0.2,-0.1,2.3,13.5,0.4,-0.2,-2.8,-0.8,5.4,1.0,4.7,-1.1,-3.8,-1.7,3.6,24.7,-3.7,-0.9,-2.9,-10.7,-5.7,17.9,-1.6,0.1,-1.2,-3.0,3.6,6.2,1.0,1.1,-0.2,-3.9,-0.6,9.2,2.7,1.4,-0.3,-6.1,0.6,6.8,4.2,1.2,-2.2
2015Oct,1.4,1.1,-3.7,-1.3,3.9,-0.8,1.1,0.6,-0.9,1.3,22.2,0.5,0.4,-2.7,-1.2,6.3,-0.6,3.3,-0.3,-3.0,-2.4,0.5,8.6,-1.7,0.7,-3.2,-10.0,-4.3,21.9,-0.3,0.0,-1.2,-3.3,3.0,8.1,0.9,1.1,-0.6,-5.9,-2.6,12.9,1.9,1.4,0.2,-5.6,-1.6,11.4,2.0,-0.1,-3.4
2015Sep,1.7,0.5,-3.8,-2.7,2.9,0.7,0.9,0.4,-3.3,1.1,14.9,0.1,0.8,-3.8,-0.8,4.1,3.4,3.0,-0.4,-2.4,-1.1,0.5,-1.1,-4.9,1.2,-2.8,-8.0,-3.2,19.9,-1.4,0.1,-1.3,-3.4,2.8,6.6,0.3,1.3,-0.4,-6.7,-4.5,8.9,2.0,0.2,1.3,-5.6,0.8,10.2,3.5,0.3,-4.1
2015Aug,1.4,1.2,-2.8,-1.6,2.4,-0.4,1.2,-0.4,-3.0,0.6,16.4,0.3,0.4,-3.6,-1.1,3.5,-0.3,1.3,0.3,-3.3,-1.4,2.3,-8.3,-3.0,-0.8,-2.7,-8.0,-1.6,11.9,-2.0,0.1,-1.3,-3.3,1.4,5.0,0.2,1.5,-0.6,-6.2,-7.1,8.2,1.7,0.1,1.0,-3.9,1.2,5.6,4.0,-0.2,-4.1
2015Jul,1.4,1.2,-2.5,-3.0,0.7,0.5,0.9,0.3,-2.9,0.5,5.4,0.2,0.6,-4.1,-0.8,2.1,-6.6,-0.4,0.5,-3.6,-1.4,1.5,-23.7,-3.5,-0.2,-3.4,-5.6,-1.6,-1.8,0.8,0.1,-1.4,-3.1,0.8,1.0,-0.1,1.8,-0.7,-5.5,-5.3,2.2,2.3,1.2,0.3,-5.7,-1.9,5.5,4.5,0.4,-3.8
2015Jun,2.0,0.5,-1.3,-1.6,1.4,1.2,0.8,0.1,-3.0,-0.8,8.5,0.1,0.6,-4.4,-0.3,1.2,1.7,-3.1,-0.5,-3.6,-0.2,1.3,-6.6,-3.7,0.1,-1.8,-2.5,-3.0,10.1,1.1,-0.1,-1.3,-2.6,0.3,3.0,0.1,1.7,-0.4,-4.9,-6.0,3.7,3.3,1.8,0.6,-3.1,-1.1,5.9,4.9,-1.1,-2.8
2015May,1.9,0.8,-1.2,-2.5,2.9,1.4,0.3,0.0,-3.2,-1.6,9.8,0.5,0.7,-3.3,-0.5,-2.3,11.2,-4.9,0.3,-3.4,-0.3,4.6,1.1,-3.7,-1.7,-1.7,-2.5,0.2,8.3,0.3,0.1,-0.6,-2.1,0.4,4.3,0.4,1.4,-0.1,-4.3,-4.8,8.3,3.5,0.3,0.8,-4.3,-0.7,4.3,4.8,-0.9,-2.2
2015Apr,2.0,2.1,-0.8,-1.7,2.0,1.2,0.3,-0.1,-2.9,0.0,5.9,1.4,0.4,-3.0,-0.2,-3.9,11.3,-5.6,-0.4,-4.2,-0.8,3.6,33.4,-3.5,-0.2,-1.9,-2.9,-0.9,5.1,1.0,0.0,-0.6,-1.7,0.1,2.2,0.1,1.8,-0.3,-2.7,-2.9,5.7,4.3,0.5,1.4,-4.0,-0.9,3.7,3.4,-0.8,-1.9
2015Mar,1.6,1.5,-0.5,-2.0,2.7,1.5,0.4,0.0,-1.4,-0.5,-2.5,2.0,0.4,-3.5,0.1,-4.5,8.4,-8.2,0.0,-1.7,0.8,1.7,34.3,-5.0,-0.1,-1.1,-2.7,-2.3,-5.9,0.4,-0.1,-0.7,-1.4,-1.2,0.1,-0.3,1.6,-0.9,-2.4,-5.3,0.1,4.0,-0.7,0.8,-1.2,-1.8,3.9,2.9,0.0,-1.6
2015Feb,2.0,-0.2,0.4,-2.1,0.6,-0.4,0.3,-0.3,-1.4,-1.6,-0.4,1.4,0.3,-3.7,0.4,-4.2,5.7,-8.5,1.3,-2.0,0.0,-1.1,37.7,-1.4,-0.3,-0.1,-0.8,-2.9,-9.4,1.4,-0.2,-0.9,-1.2,-2.3,-0.6,-0.9,1.5,-1.1,-2.4,-10.5,-1.1,3.2,-0.1,0.2,-3.1,-5.0,-1.4,3.4,-1.8,-2.5
2015Jan,1.6,0.4,0.8,-2.7,-2.7,1.0,0.1,0.0,-0.9,-1.1,-5.2,1.9,0.2,-3.4,1.1,-4.5,-0.6,-10.3,1.1,-0.1,2.1,-0.5,23.5,1.0,-0.3,0.0,0.1,0.0,-14.6,2.5,0.0,-0.7,-0.8,-3.0,-4.8,-0.9,1.6,-0.9,-2.2,-10.4,-6.3,2.3,-1.0,0.3,1.1,-1.3,-2.4,2.6,-0.3,-1.9
2014Dec,2.2,0.7,1.7,-2.5,-3.4,1.3,-0.1,-0.3,-0.3,-1.5,-6.1,0.4,0.4,-3.1,1.0,-7.2,0.4,-10.9,-0.2,-1.7,0.5,-0.1,-12.3,-1.4,0.2,0.6,1.2,-2.3,-14.1,3.0,-0.2,-0.7,-0.1,-3.5,-6.0,-0.9,1.5,-0.7,-1.0,-11.3,-8.6,1.6,-2.3,0.4,0.1,-4.2,-3.3,-0.7,-1.1,-2.2
2014Nov,2.2,0.1,3.4,-1.8,1.9,2.0,-0.3,-0.1,0.3,-2.1,-5.1,0.0,0.0,-2.7,1.5,-8.1,5.3,-11.3,1.1,-0.8,0.9,-0.2,25.2,-0.9,0.7,1.1,4.0,1.0,-1.2,0.7,-0.1,-0.5,0.5,-4.0,-1.1,-1.1,1.3,-0.2,0.4,-12.6,2.0,0.7,-1.6,0.3,2.6,0.8,-1.2,-0.7,-1.7,-2.3
2014Oct,1.8,0.5,4.8,-1.7,1.8,1.6,-0.1,0.0,1.1,-1.6,-8.8,-0.4,-0.6,-2.8,2.6,-9.4,3.4,-12.1,0.4,-2.0,1.0,-0.8,-8.3,-3.2,-0.1,1.8,6.4,0.5,-1.4,1.9,-0.1,-0.4,1.5,-3.7,-1.9,-1.1,1.4,-0.1,4.8,-11.6,-0.7,2.0,-1.5,0.9,4.9,0.4,-2.4,-1.3,-0.2,-1.3
2014Sep,2.0,2.3,5.3,1.5,2.4,2.1,0.1,0.6,2.6,-0.6,-6.7,-0.1,-1.0,-2.0,3.5,-7.5,4.4,-12.3,0.7,-3.2,0.2,-0.3,-1.1,-1.6,-0.3,1.7,6.2,0.0,-1.0,2.5,-0.4,-0.3,2.1,-3.4,-3.1,-0.6,1.2,-0.2,6.4,-8.0,-0.8,1.8,-0.9,-0.9,4.2,-1.9,-5.9,-2.0,-0.7,-0.9
2014Aug,2.3,1.3,4.7,0.5,0.6,2.1,-0.2,1.1,3.3,-0.1,-12.2,0.1,-1.2,-1.8,4.0,-10.9,8.7,-12.0,1.0,-2.3,1.3,2.0,-0.1,-0.9,1.3,2.9,7.1,1.4,-11.0,2.7,-0.5,0.0,2.4,-3.3,-5.9,-0.7,1.4,-0.5,6.5,-5.0,-6.4,2.1,-0.1,0.2,3.8,0.8,-7.6,-1.9,0.0,-0.5
2014Jul,2.4,0.8,6.1,2.0,-1.6,2.6,-0.1,0.8,3.7,0.2,-7.7,0.4,-2.0,-1.2,3.9,-11.4,7.8,-11.3,-0.6,-3.0,0.7,0.0,14.4,0.7,0.7,3.8,9.1,1.2,-10.4,-1.1,-0.5,0.3,2.8,-2.8,-5.8,-0.8,1.2,0.2,6.7,-4.8,-6.7,1.6,-1.7,-1.0,8.4,3.6,-5.1,0.2,0.6,-0.5
2014Jun,1.8,1.7,6.2,2.5,-5.2,2.3,-0.3,1.0,3.8,0.0,-15.4,-0.1,-1.9,-0.9,3.5,-11.4,-5.2,-10.0,-0.5,-2.2,0.2,1.0,3.0,0.0,0.6,2.9,8.8,2.3,-21.6,-0.1,-0.4,0.4,3.1,-2.3,-7.7,-0.5,1.3,0.0,7.0,-2.9,-9.2,2.3,-1.7,-0.8,8.2,4.6,-5.0,-1.5,0.8,0.2
2014May,2.0,1.7,5.6,4.2,-2.7,1.1,0.1,1.3,3.5,0.7,-10.5,0.0,-2.2,-1.2,4.1,-10.9,-7.4,-9.5,-1.4,-0.4,-0.2,1.0,-2.9,-1.0,1.3,3.4,11.6,2.1,-5.5,2.9,-0.4,0.4,3.3,-1.5,-7.4,-0.6,1.3,-0.5,7.7,-0.9,-9.6,1.9,-1.4,-1.4,7.8,4.4,-4.3,-1.0,0.8,-1.1
2014Apr,1.7,-0.5,6.8,2.8,1.2,1.9,0.1,1.3,3.8,0.4,-6.0,-0.4,-2.0,-1.5,4.2,-9.9,-1.4,-8.4,-0.5,-2.7,-0.1,1.1,-14.6,2.3,-0.1,3.4,10.5,5.1,1.4,-1.2,-0.2,0.5,3.4,-0.5,-3.2,-0.7,1.3,-0.2,9.0,3.4,-4.0,1.3,-1.4,-3.1,7.6,0.5,-4.2,-2.5,2.4,-0.3
